,CAGR,Max_Drawdown,Sharp_Ratio,Value
MeanVariance,2.9292844082458616,21.254502526675083,0.11162180725824526,12819.439632415771
MeanVariance_cd,3.888852438795318,15.371178161499078,0.15950339466445246,13465.869926452635
CLA,3.087914921790774,16.104690533428908,0.12606135424393589,12924.529865264893
CLA_cd,3.7989566972152713,16.604880159613323,0.15294317987702272,13404.210105895996
HRP,1.822132201953924,17.602283408133008,0.086188450622769,12105.10956954956
HRP_cd,2.965362146033732,15.074231235291505,0.13632985906398387,12843.279438018799
nonconvex,3.4380280610047347,16.736368366405287,0.1534966670115012,13158.949485778809
nonconvex_cd,2.790869673689747,16.736368366405287,0.12640644755413832,12728.30944442749
random,4.578344893399076,16.479614004074133,0.18372475428683865,13946.48921585083
Benchmark,13.31542342469553,29.510329868395203,0.31116660246065475,21340.800000000003
